Used 2022 Kia, Forte GT-Line IVT, $18,695, Great Price, 25,110 miles, 
Used 2022 Kia, K5 GT-Line AWD, $20,498, Great Price, 48,705 miles, 
Used 2022 Kia, Forte GT-Line IVT, $17,495, Great Price, 58,153 miles, 
Used 2022 Kia, K5 GT-Line FWD, $25,495, Fair Price, 24,682 miles, 
Used 2022 Kia, Sportage EX AWD, $18,342, Fair Price, 46,456 miles, 
Used 2022 Kia, Forte GT-Line IVT, $20,999, Fair Price, 21,317 miles, 
Used 2022 Kia, Forte GT-Line IVT, $18,495, Fair Price, 43,899 miles, 
Used 2022 Kia, Sorento Plug-In Hybrid SX AWD, $34,998, Fair Price, 12,014 miles, 
Used 2022 Kia, Telluride EX AWD, $31,395, Fair Price, 54,379 miles, 
Used 2022 Kia, Telluride S AWD, $30,971, Fair Price, 54,740 miles, 
Used 2022 Kia, Forte GT-Line IVT, $19,775, High Price, 47,374 miles, 
Used 2022 Kia, Sorento Plug-In Hybrid SX Prestige AWD, $31,938, Fair Price, 35,003 miles, 
Used 2022 Kia, K5 GT-Line FWD, $22,997, Great Price, 49,423 miles, 
Used 2022 Kia, Forte LXS IVT, $17,495, Fair Price, 24,305 miles, 
Used 2022 Kia, Sorento EX FWD, $31,343, Fair Price, 4,900 miles, 
Used 2022 Kia, Sorento X-Line S AWD, $28,455, Fair Price, 27,627 miles, 
Used 2022 Kia, Sorento X-Line EX AWD, $27,493, Great Price, 50,763 miles, 
Used 2022 Kia, Forte LXS IVT, $17,499, Fair Price, 39,537 miles, 
Used 2022 Kia, K5 GT-Line FWD, $18,417, Fair Price, 96,236 miles, 
Used 2022 Kia, Telluride S AWD, $26,500, Fair Price, 98,558 miles, 
Used 2022 Kia, Sportage Nightfall AWD, $22,559, Great Price, 16,963 miles, 
Used 2022 Kia, Forte GT-Line IVT, $20,193, High Price, 58,385 miles, 
Used 2022 Kia, Sorento LX AWD, $24,193, Great Price, 27,392 miles, 
Used 2022 Kia, Telluride S AWD, $26,195, Fair Price, 82,331 miles, 
Used 2022 Kia, Forte GT-Line IVT, $17,759, Great Price, 38,249 miles, 
Used 2022 Kia, Sportage Nightfall AWD, $22,811, Fair Price, 33,207 miles, 
Used 2022 Kia, Stinger GT-Line AWD, $25,695, Fair Price, 59,785 miles, 
Used 2022 Kia, Sorento X-Line S AWD, $28,620, Fair Price, 11,686 miles, 
Used 2022 Kia, Forte GT-Line IVT, $19,995, Fair Price, 14,753 miles, 
Used 2022 Kia, K5 GT-Line FWD, $21,888, Fair Price, 46,333 miles, 
Used 2022 Kia, K5 GT-Line AWD, $23,498, High Price, 6,198 miles, 
Used 2022 Kia, Telluride EX AWD, $34,400, Fair Price, 28,666 miles, 
Used 2022 Kia, Telluride S AWD, $31,495, Fair Price, 25,691 miles, 
Used 2022 Kia, Sportage LX AWD, $18,000, Great Price, 21,328 miles, 
Used 2022 Kia, Sorento SX AWD, $29,385, Fair Price, 35,376 miles, 
Used 2022 Kia, Sorento SX AWD, $28,929, Great Price, 36,251 miles, 
Used 2022 Kia, Stinger GT1 AWD, $21,818, Excellent Price, 97,930 miles, 
Used 2022 Kia, Soul LX IVT, $15,018, Excellent Price, 49,493 miles, 
Used 2022 Kia, Telluride LX AWD, $30,965, Fair Price, 38,128 miles, 
Used 2022 Kia, Telluride LX AWD, $29,488, Fair Price, 38,152 miles, 
Used 2022 Kia, Seltos S 2.0 AWD, $19,995, High Price, 64,521 miles, 
Used 2022 Kia, Sorento X-Line S AWD, $26,178, Fair Price, 33,560 miles, 
Used 2022 Kia, Stinger GT1 RWD, $24,995, Great Price, 73,257 miles, 
Used 2022 Kia, Sorento X-Line SX Prestige AWD, $28,995, Excellent Price, 51,228 miles, 
Used 2022 Kia, Sorento X-Line S AWD, $27,895, High Price, 47,233 miles, 
Used 2022 Kia, Forte GT-Line IVT, $21,579, High Price, 14,899 miles, 
Used 2022 Kia, Niro EV S, $11,218, Excellent Price, 69,197 miles, 
Used 2022 Kia, K5 LXS FWD, $19,028, Fair Price, 47,331 miles, 
Used 2022 Kia, Seltos LX 2.0 AWD, $16,690, Fair Price, 48,805 miles, 
Used 2022 Kia, Forte LXS IVT, $17,490, Great Price, 19,511 miles, 
Used 2022 Kia, Sorento SX AWD, $28,800, Great Price, 41,154 miles, 
Used 2022 Kia, Sorento X-Line S AWD, $26,495, Fair Price, 41,755 miles, 
Used 2022 Kia, Sorento SX AWD, $29,999, Excellent Price, 28,993 miles, 
Used 2022 Kia, Sportage LX AWD, $16,733, High Price, 85,913 miles, 
Used 2022 Kia, Forte GT-Line IVT, $19,388, Fair Price, 16,754 miles, 
Used 2022 Kia, K5 GT-Line FWD, $26,998, Fair Price, 18,014 miles, 
Used 2022 Kia, Telluride SX AWD, $33,918, Excellent Price, 45,349 miles, 
Used 2022 Kia, EV6 GT-Line AWD, $23,495, Fair Price, 53,517 miles, 
Used 2022 Kia, K5 LXS FWD, $17,995, High Price, 60,274 miles, 
Used 2022 Kia, Soul LX IVT, $16,677, High Price, 50,957 miles, 
Used 2022 Kia, Sorento S FWD, $26,598, High Price, 23,460 miles, 
Used 2022 Kia, Soul LX IVT, $15,895, Fair Price, 46,945 miles, 
Used 2022 Kia, Forte GT-Line IVT, $19,997, High Price, 45,784 miles, 
Used 2022 Kia, Forte GT-Line IVT, $19,268, Fair Price, 14,782 miles, 
Used 2022 Kia, Niro Hybrid LXS SE, $21,900, Fair Price, 34,819 miles, 
Used 2022 Kia, Soul LX IVT, $12,500, Excellent Price, 45,113 miles, 
Used 2022 Kia, Forte LXS IVT, $17,950, Great Price, 30,283 miles, 
Used 2022 Kia, Soul LX IVT, $16,978, Fair Price, 30,900 miles, 
Used 2022 Kia, Forte GT-Line IVT, $19,559, High Price, 35,398 miles, 
Used 2022 Kia, Telluride EX AWD, $31,490, Fair Price, 60,909 miles, 
Used 2022 Kia, Sorento Hybrid S AWD, $25,520, Fair Price, 42,184 miles, 
Used 2022 Kia, Seltos LX 2.0 AWD, $19,900, Fair Price, 23,973 miles, 
Used 2022 Kia, Forte GT-Line IVT, $20,997, Fair Price, 18,387 miles, 
Used 2022 Kia, Seltos S 2.0 AWD, $17,590, Fair Price, 54,386 miles, 
Used 2022 Kia, Forte GT-Line IVT, $20,950, Fair Price, 24,600 miles, 
Used 2022 Kia, Sorento X-Line EX AWD, $33,745, Fair Price, 24,340 miles, 
Used 2022 Kia, Forte LXS IVT, $18,995, High Price, 57,853 miles, 
Used 2022 Kia, Soul LX IVT, $17,995, High Price, 639 miles, 
Used 2022 Kia, K5 GT-Line FWD, $23,495, Fair Price, 18,215 miles, 
Used 2022 Kia, Sorento SX AWD, $32,495, Fair Price, 30,885 miles, 
Used 2022 Kia, Forte GT-Line IVT, $16,495, Excellent Price, 61,700 miles, 
Used 2022 Kia, Telluride EX AWD, $35,995, Fair Price, 44,429 miles, 
Used 2022 Kia, Sorento X-Line SX Prestige AWD, $26,895, Fair Price, 33,044 miles, 
Used 2022 Kia, Sportage LX AWD, $17,895, Excellent Price, 34,347 miles, 
Used 2022 Kia, Forte LXS IVT, $19,995, High Price, 21,635 miles, 
Used 2022 Kia, Forte LXS IVT, $17,495, High Price, 29,777 miles, 
Used 2022 Kia, Sorento LX AWD, $26,317, High Price, 23,500 miles, 
Used 2022 Kia, Sorento X-Line EX AWD, $29,990, Great Price, 35,766 miles, 
Used 2022 Kia, Sorento SX AWD, $29,590, Great Price, 17,646 miles, 
Used 2022 Kia, Sorento X-Line S AWD, $26,995, Fair Price, 34,143 miles, 
Used 2022 Kia, Sorento X-Line EX AWD, $33,995, High Price, 32,930 miles, 
Used 2022 Kia, Telluride S AWD, $33,127, Fair Price, 14,631 miles, 
Used 2022 Kia, K5 GT-Line AWD, $18,699, Excellent Price, 86,032 miles, 
Used 2022 Kia, Sorento X-Line S AWD, $26,490, Fair Price, 43,084 miles, 
Used 2022 Kia, Telluride S AWD, $33,127, Fair Price, 14,631 miles, 
Used 2022 Kia, Sorento SX AWD, $31,259, High Price, 45,267 miles, 
Used 2022 Kia, Forte LXS IVT, $17,950, Great Price, 30,283 miles, 
Used 2022 Kia, Sorento Hybrid S AWD, $25,520, Fair Price, 42,184 miles, 
Used 2022 Kia, K5 GT-Line AWD, $22,911, Great Price, 45,992 miles, 
Used 2022 Kia, Forte GT-Line IVT, $19,268, Fair Price, 14,782 miles, 
Used 2022 Kia, Sorento X-Line S AWD, $26,995, Fair Price, 34,143 miles, 
Used 2022 Kia, K5 GT-Line AWD, $18,699, Excellent Price, 86,032 miles, 
Used 2022 Kia, Forte GT-Line IVT, $16,495, Excellent Price, 61,700 miles, 
Used 2022 Kia, Forte GT-Line IVT, $20,950, Fair Price, 24,600 miles, 
Used 2022 Kia, Telluride S AWD, $31,995, High Price, 51,338 miles, 
Used 2022 Kia, Sorento X-Line S AWD, $26,490, Fair Price, 43,084 miles, 
Used 2022 Kia, Sportage LX AWD, $17,895, Excellent Price, 34,347 miles, 
