Used 2023 Kia, Soul LX IVT, $18,348, Fair Price, 13,302 miles, 
Used 2023 Kia, K5 GT-Line AWD, $26,500, Fair Price, 22,642 miles, 
Used 2023 Kia, Sportage EX FWD, $22,290, Fair Price, 36,877 miles, 
Used 2023 Kia, Soul LX IVT, $16,726, Excellent Price, 27,492 miles, 
Used 2023 Kia, K5 LXS FWD, $22,799, Fair Price, 30,539 miles, 
Used 2023 Kia, Forte GT-Line IVT, $21,995, High Price, 19,059 miles, 
Used 2023 Kia, K5 GT-Line FWD, $28,998, High Price, 20,195 miles, 
Used 2023 Kia, Sorento EX FWD, $30,089, High Price, 34,832 miles, 
Used 2023 Kia, Stinger GT-Line RWD, $25,299, Fair Price, 33,622 miles, 
Used 2023 Kia, Sportage X-Line AWD, $27,995, Fair Price, 21,964 miles, 
Used 2023 Kia, Forte GT-Line IVT, $22,998, Fair Price, 24,703 miles, 
Used 2023 Kia, Stinger GT-Line AWD, $29,891, Great Price, 30,036 miles, 
Used 2023 Kia, Sportage X-Line AWD, $25,380, High Price, 79,828 miles, 
Used 2023 Kia, Forte GT-Line IVT, $17,288, Fair Price, 50,914 miles, 
Used 2023 Kia, Sportage LX AWD, $21,400, Great Price, 18,440 miles, 
Used 2023 Kia, Forte GT DCT, $21,395, Fair Price, 20,818 miles, 
Used 2023 Kia, Sportage EX AWD, $23,459, Fair Price, 64,193 miles, 
Used 2023 Kia, Soul GT-Line IVT, $20,523, Fair Price, 10,371 miles, 
Used 2023 Kia, Forte GT-Line IVT, $19,888, Fair Price, 24,632 miles, 
Used 2023 Kia, Sportage X-Line AWD, $26,944, Fair Price, 36,628 miles, 
Used 2023 Kia, Sportage X-Line AWD, $27,998, Fair Price, 25,038 miles, 
Used 2023 Kia, Seltos LX AWD, $15,985, Great Price, 68,365 miles, 
Used 2023 Kia, Forte GT-Line IVT, $19,599, Fair Price, 28,030 miles, 
Used 2023 Kia, Soul LX IVT, $18,888, High Price, 21,105 miles, 
Used 2023 Kia, Sportage SX-Prestige FWD, $31,413, Fair Price, 16,537 miles, 
Used 2023 Kia, Sportage Hybrid EX AWD, $25,668, Fair Price, 46,535 miles, 
Used 2023 Kia, K5 GT-Line AWD, $26,500, Fair Price, 22,642 miles, 
Used 2023 Kia, Soul GT-Line IVT, $24,594, High Price, 4,357 miles, 
Used 2023 Kia, Sportage SX FWD, $26,591, Fair Price, 22,772 miles, 
Used 2023 Kia, Sportage Hybrid LX AWD, $26,233, Fair Price, 37,484 miles, 
Used 2023 Kia, Sportage X-Line AWD, $27,997, Fair Price, 17,103 miles, 
Used 2023 Kia, Sportage EX FWD, $25,742, High Price, 35,861 miles, 
Used 2023 Kia, Sportage X-Line AWD, $27,495, Fair Price, 14,044 miles, 
Used 2023 Kia, Forte GT-Line IVT, $18,595, Fair Price, 26,306 miles, 
Used 2023 Kia, Soul EX IVT, $24,998, High Price, 2,664 miles, 
Used 2023 Kia, Carnival EX, $34,685, Great Price, 21,774 miles, 
Used 2023 Kia, Sportage SX-Prestige FWD, $31,998, High Price, 18,400 miles, 
Used 2023 Kia, Telluride SX Prestige X-Line AWD, $41,495, Fair Price, 984 miles, 
Used 2023 Kia, Sportage SX FWD, $24,498, High Price, 12,637 miles, 
Used 2023 Kia, Niro Hybrid EX Touring, $25,998, Fair Price, 43,113 miles, 
Used 2023 Kia, Forte LXS IVT, $17,995, Fair Price, 14,644 miles, 
Used 2023 Kia, Sportage Hybrid LX AWD, $23,192, Fair Price, 43,659 miles, 
Used 2023 Kia, Sportage X-Line AWD, $27,494, Fair Price, 34,187 miles, 
Used 2023 Kia, Forte GT DCT, $24,998, Fair Price, 17,586 miles, 
Used 2023 Kia, Forte GT-Line IVT, $17,599, Excellent Price, 37,403 miles, 
Used 2023 Kia, Seltos S FWD, $19,695, Fair Price, 37,760 miles, 
Used 2023 Kia, Forte LXS IVT, $13,900, Excellent Price, 58,193 miles, 
Used 2023 Kia, Sorento SX AWD, $33,234, Fair Price, 36,551 miles, 
Used 2023 Kia, Sportage X-Line AWD, $27,000, Fair Price, 36,864 miles, 
Used 2023 Kia, Sportage Hybrid LX AWD, $22,795, Fair Price, 48,262 miles, 
Used 2023 Kia, Sportage X-Pro Prestige AWD, $31,747, Fair Price, 8,317 miles, 
Used 2023 Kia, Sorento X-Line S AWD, $25,417, Fair Price, 66,632 miles, 
Used 2023 Kia, Forte GT-Line IVT, $20,288, Fair Price, 8,309 miles, 
Used 2023 Kia, Soul LX IVT, $19,595, High Price, 38,394 miles, 
Used 2023 Kia, Sportage SX-Prestige FWD, $24,695, Fair Price, 11,770 miles, 
