Used 2023 Toyota, 4Runner TRD Off Road Premium 4WD, $44,994, Excellent Price, 18,769 miles, 
Used 2023 Toyota, Tacoma SR5 Double Cab 5' Bed V6 2WD Automatic, $33,708, High Price, 54,071 miles, 
Used 2023 Toyota, 4Runner SR5 Premium RWD, $40,599, High Price, 50,774 miles, 
Used 2023 Toyota, 4Runner TRD Pro 4WD, $54,172, Great Price, 31,870 miles, 
Used 2023 Toyota, Tacoma SR Double Cab 5' Bed I4 2WD Automatic, $35,888, High Price, 30,261 miles, 
Used 2023 Toyota, Corolla Cross XLE FWD, $28,499, Fair Price, 21,078 miles, 
Used 2023 Toyota, Corolla LE CVT FWD, $18,995, High Price, 95,392 miles, 
Used 2023 Toyota, 4Runner SR5 Premium 4WD, $47,237, High Price, 36,203 miles, 
Used 2023 Toyota, 4Runner Limited 4WD, $55,500, Fair Price, 20,427 miles, 
Used 2023 Toyota, Tundra SR5 CrewMax 5.5' Bed 3.5L 4WD, $43,699, Fair Price, 32,424 miles, 
Used 2023 Toyota, RAV4 LE FWD, $28,950, High Price, 42,380 miles, 
Used 2023 Toyota, Tundra SR5 CrewMax 5.5' Bed 3.5L 4WD, $43,699, Fair Price, 32,424 miles, 
Used 2023 Toyota, Tacoma TRD Off Road Double Cab 5' Bed V6 4WD Manual, $44,390, High Price, 51,812 miles, 
Used 2023 Toyota, Highlander Hybrid XLE FWD, $42,799, Fair Price, 31,331 miles, 
Used 2023 Toyota, Highlander L FWD, $44,989, High Price, 27,455 miles, 
Used 2023 Toyota, RAV4 Hybrid Woodland AWD, $32,222, Great Price, 52,301 miles, 
Used 2023 Toyota, Tacoma SR5 Double Cab 5' Bed V6 2WD Automatic, $33,909, Fair Price, 58,842 miles, 
Used 2023 Toyota, RAV4 Adventure AWD, $32,971, High Price, 48,038 miles, 
Used 2023 Toyota, Corolla LE CVT FWD, $22,062, High Price, 23,128 miles, 
Used 2023 Toyota, Highlander XLE FWD, $42,500, Fair Price, 22,382 miles, 
Used 2023 Toyota, Camry SE Automatic FWD, $27,000, High Price, 48,341 miles, 
Used 2023 Toyota, Tacoma SR5 Double Cab 5' Bed I4 2WD Automatic, $30,799, High Price, 50,678 miles, 
Used 2023 Toyota, 4Runner TRD Off Road Premium 4WD, $50,000, Fair Price, 50,530 miles, 
Used 2023 Toyota, 4Runner SR5 Premium RWD, $43,779, High Price, 49,911 miles, 
Used 2023 Toyota, Camry TRD V6 Automatic FWD, $35,415, High Price, 53,479 miles, 
