Used 2019 BMW, X6 xDrive35i AWD, $25,495, High Price, 84,131 miles, 
Used 2019 BMW, X7 xDrive50i, $33,250, High Price, 86,720 miles, 
Used 2019 BMW, 440i xDrive Gran Coupe, $25,299, High Price, 63,947 miles, 
Used 2019 BMW, X3 xDrive30i AWD, $17,895, High Price, 83,082 miles, 
Used 2019 BMW, 440i xDrive Convertible, $33,990, Excellent Price, 36,167 miles, 
Used 2019 BMW, M5 Competition, $68,999, High Price, 26,538 miles, 
Used 2019 BMW, M2 Competition, $49,973, High Price, 22,296 miles, 
Used 2019 BMW, 540i xDrive, $20,994, High Price, 93,345 miles, 
Used 2019 BMW, 740i xDrive, $27,995, High Price, 81,987 miles, 
Used 2019 BMW, X5 xDrive40i, $33,274, High Price, 68,058 miles, 
Used 2019 BMW, 540i xDrive, $25,700, High Price, 97,781 miles, 
Used 2019 BMW, 430i xDrive Gran Coupe, $19,588, High Price, 72,389 miles, 
Used 2019 BMW, 330i xDrive Sedan, $17,395, High Price, 106,896 miles, 
Used 2019 BMW, 430i xDrive Gran Coupe, $24,199, High Price, 27,502 miles, 
Used 2019 BMW, 330i Sedan RWD, $22,995, High Price, 69,329 miles, 
Used 2019 BMW, 330i xDrive Gran Turismo, $14,980, High Price, 135,499 miles, 
Used 2019 BMW, X5 xDrive40i, $59,995, High Price, 10,826 miles, 
