Used 2023 Hyundai, Elantra SEL IVT, $19,433, Fair Price, 33,567 miles, 
Used 2023 Hyundai, Palisade SE AWD, $31,750, Fair Price, 25,937 miles, 
Used 2023 Hyundai, Sonata SEL 2.5L, $23,759, High Price, 16,138 miles, 
Used 2023 Hyundai, Santa Fe XRT AWD, $25,995, Fair Price, 32,845 miles, 
Used 2023 Hyundai, Tucson SEL AWD, $27,998, High Price, 16,217 miles, 
Used 2023 Hyundai, Kona N Line AWD DCT, $23,516, High Price, 17,200 miles, 
Used 2023 Hyundai, Tucson SEL AWD, $22,695, Excellent Price, 28,526 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $18,490, Fair Price, 36,617 miles, 
Used 2023 Hyundai, Kona SEL AWD Automatic, $20,444, Great Price, 18,509 miles, 
Used 2023 Hyundai, Santa Cruz NIGHT AWD, $26,587, Fair Price, 47,216 miles, 
Used 2023 Hyundai, Tucson SEL AWD, $23,679, High Price, 24,883 miles, 
Used 2023 Hyundai, Venue SE IVT, $17,997, Fair Price, 31,130 miles, 
Used 2023 Hyundai, IONIQ 6 SEL AWD, $27,995, Fair Price, 201 miles, 
Used 2023 Hyundai, Santa Fe SE AWD, $18,785, High Price, 90,202 miles, 
Used 2023 Hyundai, Sonata SEL Plus 1.6T, $21,995, Great Price, 32,478 miles, 
Used 2023 Hyundai, Santa Fe Plug-In Hybrid SEL Convenience AWD, $31,999, Fair Price, 3,885 miles, 
Used 2023 Hyundai, Palisade Calligraphy AWD, $41,888, Great Price, 26,644 miles, 
Used 2023 Hyundai, Tucson SEL AWD, $23,759, High Price, 44,035 miles, 
Used 2023 Hyundai, Elantra Limited IVT, $19,477, Great Price, 30,200 miles, 
